+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|  6 | vars        | Point-Biserial | -0.201131 | 0.0736164   |     4 |          2.55556 |
|  7 | vars        | Pearson        | -0.495862 | 2.91075e-06 |     4 |          2.55556 |
|  8 | vars        | Point-Biserial | -0.180156 | 0.0728748   |     5 |          2.55556 |
|  9 | vars        | Pearson        | -0.496569 | 1.48475e-07 |     5 |          2.55556 |
| 10 | vars        | Point-Biserial | -0.164991 | 0.0717296   |     6 |          2.55556 |
| 11 | vars        | Pearson        | -0.495207 | 8.92998e-09 |     6 |          2.55556 |
| 12 | vars        | Point-Biserial | -0.154563 | 0.0682447   |     7 |          2.55556 |
| 13 | vars        | Pearson        | -0.484879 | 1.27183e-09 |     7 |          2.55556 |
|  0 | statsmodels | Point-Biserial | -0.391806 | 0.0875489   |     1 |          2.77778 |
|  1 | statsmodels | Pearson        | -0.544465 | 0.0130617   |     1 |          2.77778 |
|  2 | statsmodels | Point-Biserial | -0.278112 | 0.0822772   |     2 |          2.77778 |
|  3 | statsmodels | Pearson        | -0.507868 | 0.000821779 |     2 |          2.77778 |
|  4 | statsmodels | Point-Biserial | -0.224489 | 0.0846373   |     3 |          2.77778 |
|  5 | statsmodels | Pearson        | -0.497302 | 5.29413e-05 |     3 |          2.77778 |
|  6 | statsmodels | Point-Biserial | -0.194014 | 0.0846296   |     4 |          2.77778 |
|  7 | statsmodels | Pearson        | -0.495449 | 2.97533e-06 |     4 |          2.77778 |
|  8 | statsmodels | Point-Biserial | -0.173276 | 0.0847004   |     5 |          2.77778 |
|  9 | statsmodels | Pearson        | -0.496111 | 1.5306e-07  |     5 |          2.77778 |
| 10 | statsmodels | Point-Biserial | -0.158437 | 0.0839245   |     6 |          2.77778 |
| 11 | statsmodels | Pearson        | -0.494397 | 9.52129e-09 |     6 |          2.77778 |
| 12 | statsmodels | Point-Biserial | -0.148327 | 0.080295    |     7 |          2.77778 |
| 13 | statsmodels | Pearson        | -0.483781 | 1.40278e-09 |     7 |          2.77778 |
|  0 | vars        | Point-Biserial | -0.391806 | 0.0875489   |     1 |          2.77778 |
|  1 | vars        | Pearson        | -0.544465 | 0.0130617   |     1 |          2.77778 |
